State,District,Schooltype,Schoolrating,SchoolName,Count
Colorado,ACADEMY 20,Elementary Schools,A - Grade Schools,CHINOOK TRAIL ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,A - Grade Schools,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,B - Grade Schools,MOUNTAIN VIEW ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,B - Grade Schools,EDITH WOLFORD ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,B - Grade Schools,RANCH CREEK ELEMENTARY,1
Colorado,ACADEMY 20,Elementary Schools,B - Grade Schools,FRONTIER ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,B - Grade Schools,FOOTHILLS ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,B - Grade Schools,ANTELOPE TRAILS ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,B - Grade Schools,PIONEER ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,C - Grade Schools,WOODMEN-ROBERTS ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,C - Grade Schools,THE DA VINCI ACADEMY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,C - Grade Schools,PRAIRIE HILLS ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,C - Grade Schools,THE CLASSICAL ACADEMY CHARTER,1
Colorado,ACADEMY 20,Elementary Schools,C - Grade Schools,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,C - Grade Schools,ROCKRIMMON ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,C - Grade Schools,DOUGLASS VALLEY ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,C - Grade Schools,DISCOVERY CANYON CAMPUS SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,D - Grade Schools,HIGH PLAINS ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,Elementary Schools,D - Grade Schools,EXPLORER ELEMENTARY SCHOOL,1
Colorado,ACADEMY 20,High Schools,A - Grade Schools,ASPEN VALLEY HIGH SCHOOL,1
Colorado,ACADEMY 20,High Schools,B - Grade Schools,TCA COLLEGE PATHWAYS,1
Colorado,ACADEMY 20,High Schools,B - Grade Schools,THE CLASSICAL ACADEMY HIGH SCHOOL,1
Colorado,ACADEMY 20,High Schools,C - Grade Schools,PINE CREEK HIGH SCHOOL,1
Colorado,ACADEMY 20,High Schools,C - Grade Schools,DISCOVERY CANYON CAMPUS SCHOOL,1
Colorado,ACADEMY 20,High Schools,C - Grade Schools,AIR ACADEMY HIGH SCHOOL,1
Colorado,ACADEMY 20,High Schools,C - Grade Schools,RAMPART HIGH SCHOOL,1
Colorado,ACADEMY 20,High Schools,C - Grade Schools,LIBERTY HIGH SCHOOL,1
Colorado,ACADEMY 20,Middle Schools,B - Grade Schools,THE CLASSICAL ACADEMY MIDDLE SCHOOL,1
Colorado,ACADEMY 20,Middle Schools,B - Grade Schools,TCA COLLEGE PATHWAYS,1
Colorado,ACADEMY 20,Middle Schools,C - Grade Schools,EAGLEVIEW MIDDLE SCHOOL,1
Colorado,ACADEMY 20,Middle Schools,C - Grade Schools,DISCOVERY CANYON CAMPUS SCHOOL,1
Colorado,ACADEMY 20,Middle Schools,C - Grade Schools,TIMBERVIEW MIDDLE SCHOOL,1
Colorado,ACADEMY 20,Middle Schools,C - Grade Schools,MOUNTAIN RIDGE MIDDLE SCHOOL,1
Colorado,ACADEMY 20,Middle Schools,C - Grade Schools,CHALLENGER MIDDLE SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,A - Grade Schools,PRAIRIE HILLS ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,A - Grade Schools,HULSTROM OPTIONS K-8 SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,GLOBAL VILLAGE ACADEMY,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,TARVER ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,MERIDIAN ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,MOUNTAIN VIEW ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,SKYVIEW ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,ARAPAHOE RIDGE ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,GLACIER PEAK ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,PROSPECT RIDGE ACADEMY,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,B - Grade Schools,STARGATE CHARTER SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,SILVER CREEK ELEMENTARY,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,EAGLEVIEW ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,COYOTE RIDGE ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,WESTVIEW ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,STEM SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,STELLAR ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,NORTH STAR ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,NORTH MOR ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,MC ELWAIN ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,ROCKY MOUNTAIN ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,HUNTERS GLEN ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,CHERRY DRIVE ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,COTTON CREEK ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,CENTENNIAL ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,ACADEMY OF CHARTER SCHOOLS,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,WOODGLEN ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,STUKEY ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,MALLEY DRIVE ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,C - Grade Schools,RIVERDALE ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,D - Grade Schools,FEDERAL HEIGHTS ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,D - Grade Schools,WESTGATE CHARTER,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,D - Grade Schools,THORNTON ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,D - Grade Schools,LEROY DRIVE ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,D - Grade Schools,HILLCREST ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,D - Grade Schools,CORONADO HILLS ELEMENTARY SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,F - Grade Schools,THE STUDIO SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Elementary Schools,F - Grade Schools,COLORADO VIRTUAL ACADEMY (COVA),1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,High Schools,B - Grade Schools,LEGACY HIGH SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,High Schools,C - Grade Schools,NORTHGLENN HIGH SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,High Schools,C - Grade Schools,MOUNTAIN RANGE HIGH SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,High Schools,C - Grade Schools,THORNTON HIGH SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,High Schools,C - Grade Schools,HORIZON HIGH SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,High Schools,C - Grade Schools,COLORADO VIRTUAL ACADEMY (COVA),1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,High Schools,C - Grade Schools,ACADEMY OF CHARTER SCHOOLS,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,A - Grade Schools,STARGATE CHARTER SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,B - Grade Schools,WESTLAKE MIDDLE SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,C - Grade Schools,NORTHGLENN MIDDLE SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,C - Grade Schools,STEM SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,C - Grade Schools,SHADOW RIDGE MIDDLE SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,C - Grade Schools,SILVER HILLS MIDDLE SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,C - Grade Schools,HULSTROM OPTIONS K-8 SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,C - Grade Schools,CENTURY MIDDLE SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,C - Grade Schools,ROCKY TOP MIDDLE SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,C - Grade Schools,WESTGATE CHARTER,1
