SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
BEAR CREEK ELEMENTARY SCHOOL,Boulder,1,Kindergarten,Performance Plan,5th Grade,Performance Plan
CHALLENGE SCHOOL,Denver,2,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,Cherry Hills Village,3,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DRY CREEK ELEMENTARY SCHOOL,Englewood,4,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
STECK ELEMENTARY SCHOOL,Denver,5,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
TIMBER TRAIL ELEMENTARY SCHOOL,Castle Rock,6,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DENNISON ELEMENTARY SCHOOL,Lakewood,7,Kindergarten,Performance Plan,6th Grade,Performance Plan
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,Fort Collins,8,Kindergarten,Performance Plan,12th Grade,Performance Plan
TRAUT CORE ELEMENTARY SCHOOL,Fort Collins,9,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ZACH ELEMENTARY SCHOOL,Fort Collins,10,Kindergarten,Performance Plan,5th Grade,Performance Plan
COYOTE RIDGE ELEMENTARY SCHOOL,Fort Collins,11,Kindergarten,Performance Plan,5th Grade,Performance Plan
THE CLASSICAL ACADEMY HIGH SCHOOL,Colorado Springs,12,9th Grade,Performance Plan,12th Grade,Performance Plan
KIOWA HIGH SCHOOL,Kiowa,13,9th Grade,Performance Plan,12th Grade,Performance Plan
ASPEN HIGH SCHOOL,Aspen,14,9th Grade,Performance Plan,12th Grade,Performance Plan
CHEYENNE MOUNTAIN HIGH SCHOOL,Colorado Springs,15,9th Grade,Performance Plan,12th Grade,Performance Plan
WEST GRAND HIGH SCHOOL,Kremmling,16,9th Grade,Performance Plan,12th Grade,Performance Plan
JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL,Broomfield,17,9th Grade,Performance Plan,12th Grade,Performance Plan
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,Denver,18,6th Grade,Performance Plan,12th Grade,Performance Plan
PEAK TO PEAK CHARTER SCHOOL,Lafayette,19,Kindergarten,Performance Plan,12th Grade,Performance Plan
TELLURIDE HIGH SCHOOL,Telluride,20,9th Grade,Performance Plan,12th Grade,Performance Plan
NORTHRIDGE ELEMENTARY SCHOOL,Highlands Ranch,21,Kindergarten,Performance Plan,6th Grade,Performance Plan
CRESTED BUTTE COMMUNITY SCHOOL,Crested Butte,22,Kindergarten,Performance Plan,12th Grade,Performance Plan
THE VANGUARD SCHOOL (HIGH),Colorado Springs,23,9th Grade,Performance Plan,12th Grade,Performance Plan
BEAR CANYON ELEMENTARY SCHOOL,Highlands Ranch,24,Kindergarten,Performance Plan,6th Grade,Performance Plan
HULSTROM OPTIONS K-8 SCHOOL,Northglenn,25,Kindergarten,Performance Plan,8th Grade,Performance Plan
COTTONWOOD CREEK ELEMENTARY SCHOOL,Englewood,26,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
STONE MOUNTAIN ELEMENTARY,Highlands Ranch,27,Kindergarten,Performance Plan,6th Grade,Performance Plan
MEIKLEJOHN ELEMENTARY,Arvada,28,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
HERITAGE HIGH SCHOOL,Littleton,29,9th Grade,Performance Plan,12th Grade,Performance Plan
EVERGREEN HIGH SCHOOL,Evergreen,30,9th Grade,Performance Plan,12th Grade,Performance Plan
LYONS MIDDLE/SENIOR HIGH SCHOOL,Lyons,31,6th Grade,Performance Plan,12th Grade,Performance Plan
ARAPAHOE HIGH SCHOOL,Centennial,32,9th Grade,Performance Plan,12th Grade,Performance Plan
BELLEVIEW ELEMENTARY SCHOOL,Greenwood Village,33,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
HIGHLANDS RANCH HIGH SCHOOL,Highlands Ranch,34,9th Grade,Performance Plan,12th Grade,Performance Plan
HORIZONS K-8 SCHOOL,Boulder,35,Kindergarten,Performance Plan,8th Grade,Performance Plan
BROMWELL ELEMENTARY SCHOOL,Denver,36,Kindergarten,Performance Plan,5th Grade,Performance Plan
RALSTON VALLEY SENIOR HIGH SCHOOL,Arvada,37,9th Grade,Performance Plan,12th Grade,Performance Plan
FLAGLER SENIOR HIGH SCHOOL,Flagler,38,9th Grade,Performance Plan,12th Grade,Performance Plan
POLARIS AT EBERT ELEMENTARY SCHOOL,Denver,39,Kindergarten,Performance Plan,5th Grade,Performance Plan
ROCK CANYON HIGH SCHOOL,Littleton,40,9th Grade,Performance Plan,12th Grade,Performance Plan
NORTH STAR ACADEMY,Parker,41,Kindergarten,Performance Plan,7th Grade,Performance Plan
JAMES IRWIN CHARTER HIGH SCHOOL,Colorado Springs,42,9th Grade,Performance Plan,12th Grade,Performance Plan
BUENA VISTA HIGH SCHOOL,Buena Vista,43,9th Grade,Performance Plan,12th Grade,Performance Plan
BERGEN VALLEY INTERMEDIATE SCHOOL,Evergreen,44,3rd Grade,Performance Plan,5th Grade,Performance Plan
SUPERIOR ELEMENTARY SCHOOL,Superior,45,Kindergarten,Performance Plan,5th Grade,Performance Plan
DENVER SCHOOL OF THE ARTS,Denver,46,6th Grade,Performance Plan,12th Grade,Performance Plan
CORY ELEMENTARY SCHOOL,Denver,47,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ELBERT JUNIOR-SENIOR HIGH SCHOOL,Elbert,48,7th Grade,Performance Plan,12th Grade,Performance Plan
STEELE ELEMENTARY SCHOOL,Colorado Springs,49,Kindergarten,Performance Plan,5th Grade,Performance Plan
BEACH COURT ELEMENTARY SCHOOL,Denver,50,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BRADFORD INTERMEDIATE SCHOOL,Littleton,51,4th Grade,Performance Plan,6th Grade,Performance Plan
PEYTON JUNIOR/SENIOR HIGH SCHOOL,Peyton,52,7th Grade,Performance Plan,12th Grade,Performance Plan
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,New Raymer,53,7th Grade,Performance Plan,12th Grade,Performance Plan
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,Denver,54,7th Grade,Performance Plan,12th Grade,Performance Plan
CHERRY CREEK HIGH SCHOOL,Greenwood Village,55,9th Grade,Performance Plan,12th Grade,Performance Plan
ACADEMY CHARTER SCHOOL,Castle Rock,56,Kindergarten,Performance Plan,9th Grade,Performance Plan
ALTONA MIDDLE SCHOOL,Longmont,57,6th Grade,Performance Plan,8th Grade,Performance Plan
DISCOVERY CANYON CAMPUS SCHOOL,Colorado Springs,58,Pre-Kindergarten,Performance Plan,11th Grade,Performance Plan
DOUGLASS ELEMENTARY SCHOOL,Boulder,59,Kindergarten,Performance Plan,5th Grade,Performance Plan
CHALLENGE SCHOOL,Denver,60,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
CORE KNOWLEDGE CHARTER SCHOOL,Parker,61,Kindergarten,Performance Plan,8th Grade,Performance Plan
PLATTE RIVER CHARTER ACADEMY,Highlands Ranch,62,Kindergarten,Performance Plan,8th Grade,Performance Plan
LITTLETON ACADEMY,Littleton,63,Kindergarten,Performance Plan,8th Grade,Performance Plan
PAWNEE JUNIOR-SENIOR HIGH SCHOOL,Grover,64,7th Grade,Performance Plan,12th Grade,Performance Plan
CEDAREDGE HIGH SCHOOL,Cedaredge,65,9th Grade,Performance Plan,12th Grade,Performance Plan
RIDGWAY HIGH SCHOOL,Ridgway,66,9th Grade,Performance Plan,12th Grade,Performance Plan
PEETZ JUNIOR-SENIOR HIGH SCHOOL,Peetz,67,7th Grade,Performance Plan,12th Grade,Performance Plan
FAIRVIEW HIGH SCHOOL,Boulder,68,9th Grade,Performance Plan,12th Grade,Performance Plan
AIR ACADEMY HIGH SCHOOL,Usaf Academy,69,9th Grade,Performance Plan,12th Grade,Performance Plan
WEST DENVER PREP: HARVEY PARK CAMPUS,Denver,70,6th Grade,Performance Plan,6th Grade,Performance Plan
LITTLETON ACADEMY,Littleton,71,Kindergarten,Performance Plan,8th Grade,Performance Plan
SOUTH PARK HIGH SCHOOL,Fairplay,72,9th Grade,Performance Plan,12th Grade,Performance Plan
SWINK JUNIOR-SENIOR HIGH SCHOOL,Swink,73,7th Grade,Performance Plan,12th Grade,Performance Plan
CROWN POINTE CHARTER ACADEMY,Westminster,74,Kindergarten,Performance Plan,8th Grade,Performance Plan
MOUNTAIN VISTA HIGH SCHOOL,Highlands Ranch,75,9th Grade,Performance Plan,12th Grade,Performance Plan
